Pods,Num Nodes,Num Edges,Num Prefixes,Size Raw,Size Compressed,Size Percent (Compressed/Raw),Time Total,Time Join,Time Prefixes (total),Time Per Prefix (mean),Time Per Prefix (median),Time Per Prefix (max),Time Per Prefix Build Automaton (mean),Time Per Prefix Build Automaton (median),Time Per Prefix Build Automaton (max),Time Per Prefix Minimize Automaton (mean),Time Per Prefix Minimize Automaton (med),Time Per Prefix Minimize Automaton (max),Time Per Prefix Find Ordering (mean),Time Per Prefix Find Ordering (med),Time Per Prefix Find Ordering (max),Time Per Prefix Gen Config (mean),Time Per Prefix Gen Config (med),Time Per Prefix Gen Config (max),Time Per Prefix Compress (mean),Time Per Prefix Compress (median),Time Per Prefix Compress (max)
0,2,282,4,3148,256,0.081321,0.381000,0.005000,0.376000,0.206250,0.158000,0.370000,0.125250,0.083000,0.275000,0.041250,0.039500,0.049000,0.020250,0.019000,0.035000,0.006250,0.006500,0.009000,0.001000,0.001000,0.002000
0,5,720,4,11230,825,0.073464,0.880000,0.000000,0.880000,0.287750,0.133500,0.880000,0.208500,0.082000,0.667000,0.061000,0.047000,0.150000,0.013250,0.002000,0.049000,0.000750,0.000000,0.003000,0.000500,0.000000,0.002000
0,8,1176,4,24192,1584,0.065476,1.485000,0.000000,1.485000,0.490000,0.232500,1.484000,0.348500,0.136000,1.113000,0.111250,0.089000,0.267000,0.023500,0.003000,0.087000,0.002250,0.001000,0.006000,0.000000,0.000000,0.000000
0,11,1650,4,42850,2541,0.059300,2.126000,0.000000,2.126000,0.706250,0.343500,2.126000,0.492250,0.199000,1.562000,0.168250,0.133000,0.407000,0.036250,0.006000,0.132000,0.003500,0.002000,0.009000,0.000250,0.000000,0.001000
0,14,2142,4,68376,3696,0.054054,2.861000,0.000000,2.861000,0.953000,0.465500,2.861000,0.656500,0.262000,2.086000,0.236250,0.189000,0.567000,0.047250,0.007000,0.173000,0.005500,0.003000,0.014000,0.000250,0.000000,0.001000
0,17,2652,4,101542,5049,0.049723,3.605000,0.000000,3.605000,1.212250,0.609000,3.605000,0.816250,0.332000,2.583000,0.316000,0.256500,0.751000,0.060750,0.009500,0.222000,0.008500,0.006000,0.017000,0.003000,0.001500,0.009000
0,20,3180,4,143520,6600,0.045987,4.381000,0.000000,4.381000,1.477750,0.747000,4.381000,0.967250,0.391000,3.061000,0.410500,0.331500,0.979000,0.077500,0.012500,0.279000,0.010250,0.007500,0.023000,0.002750,0.000000,0.011000
0,23,3726,4,195082,8349,0.042797,5.204000,0.000000,5.204000,1.765000,0.908500,5.204000,1.142000,0.475000,3.590000,0.497250,0.403000,1.183000,0.098500,0.017500,0.353000,0.010000,0.006500,0.024000,0.007000,0.002000,0.024000
0,26,4290,4,257400,10296,0.040000,6.064000,0.000000,6.064000,2.060250,1.065000,6.064000,1.308500,0.548000,4.107000,0.599500,0.480500,1.437000,0.113000,0.016000,0.416000,0.019750,0.011000,0.047000,0.007250,0.005000,0.019000
0,29,4872,4,331246,12441,0.037558,6.965000,0.000000,6.965000,2.381750,1.256000,6.965000,1.485750,0.622500,4.664000,0.720500,0.588000,1.706000,0.134250,0.020500,0.489000,0.017250,0.011500,0.039000,0.009750,0.008000,0.023000
0,32,5472,4,417792,14784,0.035386,7.909000,0.000000,7.909000,2.712500,1.442500,7.909000,1.663750,0.692000,5.230000,0.845000,0.690500,1.999000,0.149750,0.024500,0.541000,0.021750,0.018000,0.046000,0.016750,0.010500,0.046000
0,35,6090,4,517810,17325,0.033458,8.940000,0.000000,8.940000,3.087500,1.672500,8.940000,1.835000,0.751500,5.792000,1.006000,0.854500,2.315000,0.179500,0.031500,0.646000,0.024500,0.018500,0.051000,0.027250,0.011500,0.086000
0,38,6726,4,632472,20064,0.031723,9.822000,0.000000,9.822000,3.405500,1.862000,9.822000,2.006250,0.834500,6.300000,1.135000,0.958500,2.623000,0.196250,0.039000,0.697000,0.028000,0.018000,0.067000,0.023250,0.007500,0.078000
0,41,7380,4,762550,23001,0.030163,10.707000,0.000000,10.707000,3.747000,2.100500,10.707000,2.161000,0.932000,6.722000,1.286000,1.082500,2.979000,0.208250,0.031500,0.760000,0.032750,0.026500,0.067000,0.041250,0.022000,0.121000
0,44,8052,4,909216,26136,0.028746,11.872000,0.000000,11.872000,4.145250,2.310000,11.872000,2.353000,0.991500,7.365000,1.431750,1.189500,3.348000,0.235750,0.040500,0.851000,0.036250,0.029500,0.073000,0.069250,0.053500,0.170000
0,47,8742,4,1073242,29469,0.027458,12.994000,0.000000,12.994000,4.541250,2.536500,12.994000,2.555250,1.087500,7.975000,1.579500,1.287000,3.744000,0.257250,0.042500,0.932000,0.040750,0.034000,0.081000,0.088500,0.079500,0.195000
0,50,9450,4,1255800,33000,0.026278,14.293000,0.000000,14.293000,4.975250,2.752000,14.293000,2.721000,1.143500,8.525000,1.795000,1.450500,4.279000,0.290250,0.046000,1.057000,0.047250,0.040500,0.089000,0.099500,0.064500,0.269000
0,53,10176,4,1457662,36729,0.025197,15.451000,0.000000,15.451000,5.408000,3.031500,15.451000,2.944750,1.223000,9.246000,1.961250,1.618500,4.608000,0.319250,0.054000,1.156000,0.054500,0.051000,0.099000,0.106500,0.080500,0.265000
0,56,10920,4,1680000,40656,0.024200,16.474000,0.000000,16.474000,5.830000,3.355000,16.473000,3.098750,1.326500,9.640000,2.160250,1.786500,5.068000,0.345750,0.053500,1.259000,0.065500,0.066500,0.112000,0.134750,0.114000,0.311000
0,59,11682,4,1923586,44781,0.023280,17.837000,0.000000,17.837000,6.353250,3.719500,17.837000,3.332000,1.383000,10.459000,2.384500,2.033500,5.471000,0.367000,0.061000,1.328000,0.090000,0.080000,0.185000,0.154750,0.123500,0.372000
0,62,12462,4,2189592,49104,0.022426,19.166000,0.000000,19.166000,6.771000,3.890500,19.165000,3.540500,1.486000,11.089000,2.578750,2.157000,6.001000,0.415250,0.087500,1.468000,0.070500,0.068000,0.128000,0.140000,0.085500,0.389000
0,65,13260,4,2478790,53625,0.021634,20.767000,0.000000,20.767000,7.434250,4.409500,20.766000,3.822000,1.592500,11.991000,2.856750,2.459000,6.509000,0.439000,0.075000,1.586000,0.099250,0.104500,0.168000,0.190750,0.158500,0.446000
0,68,14076,4,2792352,58344,0.020894,21.906000,0.000000,21.906000,7.828750,4.623500,21.906000,3.974500,1.654500,12.467000,3.067750,2.620000,7.031000,0.459250,0.072000,1.674000,0.099750,0.098500,0.182000,0.197250,0.154500,0.480000
0,71,14910,4,3131050,63261,0.020204,23.244000,0.000000,23.244000,8.396000,5.056500,23.243000,4.180750,1.832500,12.899000,3.307000,2.826000,7.576000,0.496000,0.089000,1.786000,0.110000,0.106000,0.180000,0.272500,0.186500,0.717000
0,74,15762,4,3496056,68376,0.019558,25.278000,0.000000,25.278000,9.076750,5.427500,25.277000,4.483250,1.776500,14.250000,3.597500,3.101000,8.188000,0.539000,0.092500,1.946000,0.135500,0.114000,0.296000,0.288500,0.274000,0.606000
0,77,16632,4,3888142,73689,0.018952,27.071000,0.000000,27.071000,9.611250,5.589500,27.070000,4.684750,1.872000,14.845000,3.778000,3.169500,8.773000,0.569500,0.086000,2.083000,0.119750,0.124000,0.209000,0.427750,0.318000,1.075000
0,80,17520,4,4308480,79200,0.018382,27.883000,0.014000,27.869000,10.091500,6.150000,27.868000,4.743250,2.025000,14.774000,4.073000,3.477500,9.337000,0.604250,0.091500,2.207000,0.114750,0.099500,0.238000,0.521750,0.447500,1.192000
0,83,18426,4,4757842,84909,0.017846,28.948000,0.002000,28.946000,10.558250,6.534000,28.946000,4.922750,2.090500,15.341000,4.358250,3.696500,10.040000,0.622250,0.098000,2.268000,0.098000,0.078500,0.210000,0.521500,0.561000,0.964000
0,86,19350,4,5237400,90816,0.017340,30.823000,0.000000,30.823000,11.150500,6.770500,30.823000,5.165500,2.151500,16.183000,4.694500,4.032000,10.714000,0.707750,0.184500,2.429000,0.138250,0.149000,0.227000,0.406250,0.245000,1.135000
