Pods,Num Nodes,Num Edges,Num Prefixes,Size Raw,Size Compressed,Size Percent (Compressed/Raw),Time Total,Time Join,Time Prefixes (total),Time Per Prefix (mean),Time Per Prefix (median),Time Per Prefix (max),Time Per Prefix Build Automaton (mean),Time Per Prefix Build Automaton (median),Time Per Prefix Build Automaton (max),Time Per Prefix Minimize Automaton (mean),Time Per Prefix Minimize Automaton (med),Time Per Prefix Minimize Automaton (max),Time Per Prefix Find Ordering (mean),Time Per Prefix Find Ordering (med),Time Per Prefix Find Ordering (max),Time Per Prefix Gen Config (mean),Time Per Prefix Gen Config (med),Time Per Prefix Gen Config (max),Time Per Prefix Compress (mean),Time Per Prefix Compress (median),Time Per Prefix Compress (max)
4,22,80,12,2272,808,0.355634,1.966000,0.004000,1.962000,1.446167,1.922500,1.924000,0.559667,0.744000,0.746000,0.246500,0.325000,0.339000,0.119917,0.158000,0.159000,0.246500,0.325000,0.339000,0.250417,0.334000,0.335000
6,47,252,22,22410,4680,0.208835,0.229000,0.000000,0.229000,0.071500,0.078500,0.095000,0.014409,0.015000,0.019000,0.011364,0.012000,0.021000,0.033500,0.040000,0.043000,0.011364,0.012000,0.021000,0.004500,0.004500,0.011000
8,82,576,36,119296,17312,0.145118,0.718000,0.003000,0.715000,0.165444,0.165000,0.303000,0.029417,0.029500,0.048000,0.023389,0.022500,0.044000,0.078750,0.079000,0.141000,0.023389,0.022500,0.044000,0.017611,0.015500,0.040000
10,127,1100,54,444250,49000,0.110298,2.027000,0.012000,2.015000,0.327574,0.348000,0.511000,0.064481,0.061000,0.117000,0.044370,0.044000,0.076000,0.122074,0.134000,0.239000,0.044370,0.044000,0.076000,0.050056,0.053000,0.083000
12,182,1872,76,1310688,116136,0.088607,5.106000,0.021000,5.085000,0.642934,0.676000,1.372000,0.117211,0.108000,0.225000,0.084421,0.075000,0.210000,0.203513,0.221000,0.400000,0.084421,0.075000,0.210000,0.145118,0.120500,0.366000
14,247,2940,102,3283882,242648,0.073891,12.584000,0.041000,12.543000,1.203216,1.302000,3.457000,0.218245,0.223500,0.497000,0.145451,0.140500,0.350000,0.297520,0.327500,0.602000,0.145451,0.140500,0.350000,0.307284,0.325000,0.792000
16,322,4352,132,7290880,461440,0.063290,26.386000,0.067000,26.319000,1.897894,1.942500,7.145000,0.334348,0.323500,1.616000,0.248697,0.232500,0.714000,0.410561,0.435500,0.952000,0.248697,0.232500,0.714000,0.486076,0.447000,1.751000
18,407,6156,166,14750586,815832,0.055308,52.953000,0.115000,52.838000,3.274319,3.388500,13.275000,0.558693,0.536500,1.606000,0.464886,0.412500,1.672000,0.638886,0.639000,1.790000,0.464886,0.412500,1.672000,0.921416,0.919500,2.099000
20,502,8400,204,27724000,1361000,0.049091,102.649000,0.176000,102.473000,4.943917,5.255000,20.503000,0.951480,0.828500,5.201000,0.659088,0.545500,5.160000,0.711088,0.720500,1.844000,0.659088,0.545500,5.160000,1.509083,1.499000,6.219000
22,607,11132,246,49084618,2165416,0.044116,213.036000,0.274000,212.762000,8.338740,7.617000,73.774000,1.828959,1.176000,32.476000,0.861996,0.674000,13.720000,0.909280,0.932500,8.879000,0.861996,0.674000,13.720000,2.649130,2.653500,33.454000
