Pods,Num Nodes,Num Edges,Num Prefixes,Size Raw,Size Compressed,Size Percent (Compressed/Raw),Time Total,Time Join,Time Prefixes (total),Time Per Prefix (mean),Time Per Prefix (median),Time Per Prefix (max),Time Per Prefix Build Automaton (mean),Time Per Prefix Build Automaton (median),Time Per Prefix Build Automaton (max),Time Per Prefix Minimize Automaton (mean),Time Per Prefix Minimize Automaton (med),Time Per Prefix Minimize Automaton (max),Time Per Prefix Find Ordering (mean),Time Per Prefix Find Ordering (med),Time Per Prefix Find Ordering (max),Time Per Prefix Gen Config (mean),Time Per Prefix Gen Config (med),Time Per Prefix Gen Config (max),Time Per Prefix Compress (mean),Time Per Prefix Compress (median),Time Per Prefix Compress (max)
4,22,80,12,3268,812,0.248470,0.329000,0.005000,0.324000,0.207000,0.269000,0.271000,0.092333,0.121500,0.123000,0.046667,0.059500,0.067000,0.022917,0.026500,0.032000,0.046667,0.059500,0.067000,0.004250,0.005500,0.008000
6,47,252,22,28431,4095,0.144033,0.102000,0.000000,0.102000,0.024773,0.023000,0.039000,0.009591,0.008000,0.026000,0.009136,0.009000,0.023000,0.002455,0.001000,0.015000,0.009136,0.009000,0.023000,0.000000,0.000000,0.000000
8,82,576,36,142480,13552,0.095115,0.317000,0.002000,0.315000,0.062472,0.057000,0.140000,0.024083,0.020000,0.085000,0.023056,0.021000,0.049000,0.007000,0.007000,0.019000,0.023056,0.021000,0.049000,0.000000,0.000000,0.000000
10,127,1100,54,511975,35075,0.068509,0.833000,0.005000,0.828000,0.123963,0.116000,0.296000,0.050685,0.044500,0.143000,0.045611,0.043500,0.114000,0.013537,0.012000,0.048000,0.045611,0.043500,0.114000,0.000278,0.000000,0.009000
12,182,1872,76,1475172,77292,0.052395,1.967000,0.025000,1.942000,0.239671,0.221500,1.030000,0.095553,0.086000,0.240000,0.086211,0.079000,0.243000,0.028605,0.022000,0.149000,0.086211,0.079000,0.243000,0.000895,0.000000,0.025000
14,247,2940,102,3634183,152047,0.041838,4.026000,0.027000,3.999000,0.361608,0.339000,1.893000,0.134088,0.124500,0.456000,0.136186,0.126500,0.417000,0.046529,0.037000,0.206000,0.136186,0.126500,0.417000,0.000578,0.000000,0.011000
16,322,4352,132,7967296,274880,0.034501,8.198000,0.056000,8.142000,0.520682,0.506000,2.947000,0.197985,0.195000,0.687000,0.191295,0.182000,0.396000,0.065424,0.060000,0.223000,0.191295,0.182000,0.396000,0.002341,0.000000,0.059000
18,407,6156,166,15961455,465507,0.029164,14.800000,0.124000,14.676000,0.794898,0.762000,5.898000,0.312193,0.303500,0.957000,0.272506,0.269000,0.727000,0.099687,0.093000,0.330000,0.272506,0.269000,0.727000,0.003060,0.000000,0.094000
20,502,8400,204,29764900,748300,0.025140,25.622000,0.173000,25.449000,1.216588,1.216000,8.483000,0.491907,0.488000,1.359000,0.410608,0.416000,0.871000,0.141799,0.132500,0.431000,0.410608,0.416000,0.871000,0.006515,0.001000,0.156000
22,607,11132,246,52359967,1152767,0.022016,41.752000,0.401000,41.351000,1.776902,1.809500,15.797000,0.755630,0.763500,2.223000,0.567476,0.569000,1.523000,0.202382,0.184000,0.754000,0.567476,0.569000,1.523000,0.008370,0.001000,0.205000
24,722,14400,292,87756048,1714032,0.019532,65.121000,0.414000,64.707000,2.449983,2.474500,25.962000,1.030257,1.023000,3.132000,0.778127,0.785500,2.008000,0.283586,0.271000,0.963000,0.778127,0.785500,2.008000,0.014500,0.006500,0.554000
26,847,18252,342,141202711,2473315,0.017516,89.537000,0.712000,88.825000,2.908906,2.820000,26.914000,1.234181,1.179500,2.786000,0.920208,0.903000,2.333000,0.346295,0.335000,1.004000,0.920208,0.903000,2.333000,0.016512,0.010000,0.538000
28,982,22736,396,219422980,3478412,0.015853,131.401000,0.820000,130.581000,4.082864,3.960000,50.959000,1.761152,1.713500,4.288000,1.240934,1.239500,2.664000,0.455207,0.440500,1.587000,1.240934,1.239500,2.664000,0.019866,0.010500,0.313000
30,1127,27900,454,330866775,4784175,0.014460,191.900000,1.615000,190.285000,11.072467,11.012500,148.309000,5.601346,5.611500,18.872000,2.473280,2.370500,6.482000,0.911692,0.844000,3.538000,2.473280,2.370500,6.482000,0.079678,0.029000,2.452000
32,1282,33792,516,485984512,6452992,0.013278,256.008000,2.006000,254.002000,6.204039,6.516500,76.440000,2.619527,2.562500,5.998000,1.930562,1.953500,4.544000,0.778438,0.718500,3.785000,1.930562,1.953500,4.544000,0.031800,0.019500,0.729000
34,1447,40460,582,697520863,8555267,0.012265,358.665000,1.397000,357.268000,9.584448,9.429000,168.942000,4.059253,3.928000,11.316000,2.879522,2.764000,7.239000,1.181942,1.041000,5.461000,2.879522,2.764000,7.239000,0.042888,0.024000,0.610000
36,1622,47952,652,980828676,11169900,0.011388,525.448000,6.940000,518.508000,11.442660,11.080000,174.626000,4.582721,4.215500,10.580000,3.798285,3.379500,9.337000,1.559483,1.292500,5.606000,3.798285,3.379500,9.337000,0.049839,0.017000,3.424000
