Pods,Num Nodes,Num Edges,Num Prefixes,Size Raw,Size Compressed,Size Percent (Compressed/Raw),Time Total,Time Join,Time Prefixes (total),Time Per Prefix (mean),Time Per Prefix (median),Time Per Prefix (max),Time Per Prefix Build Automaton (mean),Time Per Prefix Build Automaton (median),Time Per Prefix Build Automaton (max),Time Per Prefix Minimize Automaton (mean),Time Per Prefix Minimize Automaton (med),Time Per Prefix Minimize Automaton (max),Time Per Prefix Find Ordering (mean),Time Per Prefix Find Ordering (med),Time Per Prefix Find Ordering (max),Time Per Prefix Gen Config (mean),Time Per Prefix Gen Config (med),Time Per Prefix Gen Config (max),Time Per Prefix Compress (mean),Time Per Prefix Compress (median),Time Per Prefix Compress (max)
6,47,252,22,28431,5940,0.208927,0.347000,0.006000,0.341000,0.116636,0.031500,0.253000,0.046364,0.014500,0.103000,0.029227,0.008500,0.065000,0.017636,0.006000,0.036000,0.004909,0.001000,0.014000,0.001909,0.000000,0.008000
8,82,576,36,142480,21728,0.152499,0.292000,0.002000,0.290000,0.062694,0.057500,0.127000,0.023167,0.019000,0.082000,0.022389,0.021000,0.056000,0.008694,0.009000,0.014000,0.005083,0.005000,0.029000,0.000167,0.000000,0.003000
10,127,1100,54,511975,61500,0.120123,0.797000,0.005000,0.792000,0.120648,0.115500,0.214000,0.044981,0.038000,0.134000,0.042852,0.040500,0.072000,0.018759,0.018000,0.035000,0.008500,0.008000,0.023000,0.000741,0.000000,0.021000
12,182,1872,76,1475172,146232,0.099129,1.907000,0.017000,1.890000,0.228079,0.224500,0.585000,0.086447,0.080000,0.274000,0.077526,0.074000,0.166000,0.038829,0.034000,0.097000,0.020158,0.014000,0.062000,0.000553,0.000000,0.016000
14,247,2940,102,3634183,306740,0.084404,4.155000,0.030000,4.125000,0.364657,0.358000,1.196000,0.133667,0.121500,0.523000,0.128941,0.126500,0.352000,0.061039,0.057500,0.186000,0.033147,0.024000,0.093000,0.003196,0.000000,0.062000
16,322,4352,132,7967296,585600,0.073500,8.270000,0.121000,8.149000,0.540189,0.534500,1.717000,0.192242,0.188500,0.712000,0.193629,0.186500,0.470000,0.090417,0.085000,0.274000,0.055197,0.051000,0.224000,0.004371,0.001000,0.089000
18,407,6156,166,15961455,1039068,0.065099,14.636000,0.096000,14.540000,0.813428,0.821500,2.212000,0.284723,0.277000,0.840000,0.287729,0.288000,0.601000,0.139102,0.135000,0.421000,0.085898,0.078000,0.279000,0.009476,0.001000,0.198000
20,502,8400,204,29764900,1739000,0.058425,25.696000,0.296000,25.400000,1.284201,1.332500,3.945000,0.467975,0.458000,1.663000,0.444510,0.452000,0.967000,0.209368,0.205000,0.753000,0.141196,0.132500,0.454000,0.013676,0.007000,0.191000
22,607,11132,246,52359967,2774772,0.052994,41.697000,0.532000,41.165000,1.748780,1.912000,5.761000,0.657528,0.677000,2.855000,0.586598,0.628000,1.321000,0.266776,0.274000,0.824000,0.205606,0.205500,0.718000,0.023008,0.015000,0.279000
24,722,14400,292,87756048,4255200,0.048489,62.251000,0.694000,61.557000,2.392829,2.531000,7.871000,0.861144,0.870500,3.375000,0.800123,0.819500,2.271000,0.379120,0.376000,1.231000,0.309363,0.289000,1.068000,0.032223,0.018000,0.494000
26,847,18252,342,141202711,6310460,0.044691,91.285000,1.068000,90.217000,3.218863,3.393500,10.152000,1.153550,1.177500,4.392000,1.101722,1.089500,2.788000,0.501193,0.483500,1.513000,0.404333,0.379000,1.335000,0.045307,0.026000,0.880000
28,982,22736,396,219422980,9094008,0.041445,132.813000,0.642000,132.171000,3.833947,3.950500,7.973000,1.350864,1.343500,3.255000,1.318970,1.322500,3.142000,0.605871,0.606000,2.081000,0.492763,0.484500,1.857000,0.052434,0.042000,1.574000
30,1127,27900,454,330866775,12784500,0.038639,191.452000,0.848000,190.604000,4.672758,4.776500,12.140000,1.674040,1.663000,4.855000,1.565216,1.601500,3.720000,0.748110,0.735500,3.227000,0.605068,0.595500,2.664000,0.063414,0.055000,0.315000
32,1282,33792,516,485984512,17587712,0.036190,257.846000,1.143000,256.703000,6.416314,6.480000,13.910000,2.038723,1.966000,6.963000,2.402033,2.319000,6.999000,1.106481,0.987500,5.643000,0.764438,0.714000,5.300000,0.087434,0.050500,4.137000
34,1447,40460,582,697520863,23738460,0.034033,415.636000,7.114000,408.522000,11.000692,10.332000,23.666000,4.008768,3.316500,11.379000,3.614177,3.254000,9.703000,1.802624,1.439500,7.512000,1.437593,1.154500,6.697000,0.111765,0.047500,4.037000
